code;name;country
13147149;Lower Division;Egypt
13167217;Third Division;Egypt
13170555;Premier League;Liberia
13170556;Liberian Lower Division;Liberia
13171646;Second Division;Liberia
13172336;First Division;Cameroon
13172337;Second Division;Cameroon
13172340;Lower Leagues;Mali
13172358;Lower Divisions;Cameroon
13190228;Premier Division;Zimbabwe
13190229;Lower Division;Zimbabwe
13191166;Premier Division;Mozambique
13191167;Mozambican Lower Division;Mozambique
13191378;First Division;Congo
13191379;Lower Division;Congo
13191657;First Division;Senegal
13191658;Lower Division;Senegal
13194866;First Division - Zone 1;Zambia
13194867;First Division - Zone 2;Zambia
13194868;First Division - Zone 3;Zambia
13194869;First Division - Zone 4;Zambia
13197000;Second Division - Group 1;Egypt
13197001;Second Division - Group 2;Egypt
13197002;Second Division - Group 3;Egypt
13208974;First Division;Libya
13208975;Libyan Lower Division;Libya
13211602;Second Division;Nigeria
13211624;Premier Division;Benin
13211626;Lower Divisions;Benin
13211628;Premier Division;Guinea Bissau
13211629;Lower Divisions;Ethiopia
13211630;Premier Division;Gabon
13211632;Lower Divisions;Gabon
13211633;Premier Division;Gambia
13211635;Lower Divisions;Gambia
13211636;Premier Division;Guinea
13211638;Lower Divisions;Guinea
13211639;Premier Division;Kenya
13211641;Lower Divisions;Kenya
13211643;Premier Division;Lesotho
13211645;Lower Divisions;Lesotho
13211649;Premier Division;Madagascar
13211651;Lower Divisions;Madagascar
13211652;Premier Division;Malawi
13211654;Lower Divisions;Malawi
13211655;Premier Division;Mauritania
13211657;Lower Divisions;Guinea Bissau
13211659;Premier Division;Botswana
13211661;Lower Divisions;Botswana
13211662;Premier Division;Burkina Faso
13211664;Lower Divisions;Burkina Faso
13211665;Premier Division;Burundi
13211667;Lower Divisions;Burundi
13211670;Lower Divisions;Cabo Verde
13211671;Premier Division;Central African Republic
13211673;Lower Divisions;Central African Republic
13211674;Premier Division;Chad
13211677;Premier Division;Djibouti
13211679;Lower Divisions;Djibouti
13211681;Premier Division;Congo (Democratic Republic Of The)
13211683;Lower Divisions;Congo (Democratic Republic Of The)
13211686;Lower Divisions;Equatorial Guinea
13211687;Premier Division;Eritrea
13211690;Premier Division;Ethiopia
13211693;Lower Divisions;Mauritania
13211694;Premier Division;Mauritius
13211696;Lower Divisions;Mauritius
13211697;Premier Division;Namibia
13211699;Lower Divisions;Namibia
13211700;Premier Division;Niger
13211702;Lower Divisions;Niger
13211703;Premier Division;Rwanda
13211705;Lower Divisions;Rwanda
13211708;Lower Divisions;Sao Tome and Principe
13211709;Premier Division;Seychelles
13211711;Lower Divisions;Seychelles
13211712;Premier Division;Sierra Leone
13211714;Lower Divisions;Sierra Leone
13211715;Somali Premier Division;Somalia
13211717;Lower Divisions;Somalia
13211718;Premier Division;South Sudan
13211720;Lower Divisions;South Sudan
13211721;Premier Division;Eswatini
13211723;Lower Divisions;Eswatini
13211724;Premier Division;Tanzania
13211726;Lower Divisions;Tanzania
13211727;Premier Division;Togo
13211729;Lower Divisions;Togo
13211730;Premier Division;Tanzania
13211732;Lower Divisions;Tanzania
13211840;Second Division;Equatorial Guinea
13212430;Boa Vista Premier;Cabo Verde
