code;value
;Xuxa
;Yangxin
;Yi
;Yi-Young
;Yong-Chan
;Young-Jae
;Young-Kwang
;Yuhao
;Yunqiu
;Yuri
;Zanelli
;Zaporo
;Zen
;Zhen
;Zhongting
;Zuchi
;Aabid
;Aabiza
;Aaneba
;Aarab
;Aarón
;Aarons
;Aarts
;Abaca
;Abad
;Abadía
;Abadie
;Abaev
;Abagnale
;Abahlil
;Abakumov
;Abal
;Aballay
;Abalo
;Ábalos
;Abán
;Abanda
;Abarhoun
;Abaroa
;Abarouaï
;Abasolo
;Abass
;Abate
;Abazov
;Abba
;Abbas
;Abbott-Hill-Smith
;Abd Elhamed
;Abdallah
;Abdat
;Abdelali
;Abdelhamid
;Abdelli
;Abdennour
;Abderrahmane
;Abdi
;Abdioglu
;Abdoski
;Abdou
;Abdulahi
;Abdulavov
;Abdullah
;Abdullahi
;Abdul-Salaam
;Abdurakhmanov
;Abdureshedov
;Abecasis
;Abedzadeh
;Abegglen
;Abeid
;Abel
;Abelairas
;Abeledo
;Abelenda
;Abelinti
;Abella
;Abello
;Abels
;Abena
;Abend
;Abenzoar
;Abergel
;Abergil
;Aberkane
;Abero
;Abet
;Abete
;Abetti
;Abi
;Abibi
;Abidor
;Ábila
;Abildgaard
;Abioye
;Ablett
;Aboagye
;Abonckelet
;Aborah
;Abou
;Abou Demba
;Aboubakar
;Abouchabaka
;Aboukhlal
;Abouna
;Abraham
;Abrahams
;Abram
;Abramovic
;Abrashi
;Abraw
;Abrego
;Abregú
;Abreu
;Abruscia
;Abruzzi
;Absalem
;Abu Hanna
;Abubakar
;Abuda
;Abundis
;Aburjania
;Aburto
;Acácio
;Acai
;Acampora
;Acar
;Acatullo
;Accam
;Accardi
;Acebal
;Acebedo
;Acer
;Acerbi
;Acevedo
;Achahbar
;Achaoui
;Ache
;Acheampong
;Achermann
;Achilier
;Achinioti-Jönsson
;Achour
;Achucarro
;Aciar
;Açikalin
;Açil
;Acobi
;Acoff
;Acoidán
;Acolatse
;Acorán
;Acordino
;Acosta Luna
;Acosta
;Acosty
;Acquadro
;Acquafresca
;Acquah
;Acquistapace
;Acuña
;Ada
;Adaakwah
;Adaev
;Adalberto
;Adalgisio
;Adam
;Adamcil
;Adamczyk
;Adamo
;Adamonis
;Adamov
;Adams
;Adamyan
;Adán
;Adar
;Adarabioyo
;Adasme
;Aday
;Addae
;Addai
;Addario
;Addessi
;Adebayo
;Adebayor
;Adeboyejo
;Adeílson
;Adekanye
;Adekoya
;Adelakun
;Adeleye
;Adelino
;Ademi
;Ademir
;Ademoglu
;Ademolu
;Adenilson
;Adeniran
;Adenísio
;Adéoti
;Aderlan
;Aderllan
;Adewole
;Adewoye
;Adeyemi
;Adhadhi
;Adi
;Adican
;Adicéam
;Adighibe
;Adigüzel
;Adilehou
;Adilio
;Adilson
;Adílson
;Adiyaman
